framework,table_name,field_name,cdm_isRequired,bbIsRequired,cdmDatatype,bbConstraintMinGE,bbConstraintMinGT,bbConstraintMaxLE,bbConstraintMaxLT,bbDatatype,cdm_isPrimaryKey,bbIsPrimaryKey,cdm_isForeignKey,bbIsForeignKey,fkTableName,fkFieldName,fkDomain,fkClass,unique DQ identifiers,userGuidance,etlConventions,bbAdditionalUserGuidance,bbEtlNotes
cdm,care_site,care_site_id,TRUE,TRUE,bigint,,,,,uuid,TRUE,TRUE,FALSE,FALSE,,,,,,,Assign an id to each unique combination of location_id and place_of_service_source_value.,,
cdm,cdm_source,cdm_release_date,FALSE,FALSE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,The release data of the CDM instance.,,,
cdm,visit_occurrence,admitted_from_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,Visit,,,"Use this field to determine where the patient was admitted from. This concept is part of the visit domain and can indicate if a patient was admitted to the hospital from a long-term care facility, for example.","If available, map the admitted_from_source_value to a standard concept in the visit domain. If not available set to 0.",,
cdm,care_site,care_site_name,FALSE,FALSE,varchar(255),,,,,varchar(255),FALSE,FALSE,FALSE,FALSE,,,,,,The name of the care_site as it appears in the source data,,,
cdm,care_site,care_site_source_value,FALSE,FALSE,varchar(50),,,,,varchar(50),FALSE,FALSE,FALSE,FALSE,,,,,,The identifier of the care_site as it appears in the source data. This could be an identifier separate from the name of the care_site.,,,
cdm,care_site,place_of_service_source_value,FALSE,FALSE,varchar(50),,,,,varchar(50),FALSE,FALSE,FALSE,FALSE,,,,,,,Put the place of service of the care_site as it appears in the source data.,,
cdm,cdm_source,source_release_date,FALSE,FALSE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,The release date of the source data.,,,
cdm,cohort,cohort_end_date,TRUE,TRUE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
cdm,cdm_source,cdm_version,FALSE,FALSE,varchar(10),,,,,varchar(10),FALSE,FALSE,FALSE,FALSE,,,,,,,,,
cdm,cdm_source,vocabulary_version,FALSE,FALSE,varchar(20),,,,,varchar(20),FALSE,FALSE,FALSE,FALSE,,,,,,,,,
cdm,cdm_source,cdm_source_abbreviation,FALSE,FALSE,varchar(25),,,,,varchar(25),FALSE,FALSE,FALSE,FALSE,,,,,,The abbreviation of the CDM instance.,,,
cdm,cdm_source,cdm_source_name,TRUE,TRUE,varchar(255),,,,,varchar(255),FALSE,FALSE,FALSE,FALSE,,,,,,The name of the CDM instance.,,,
cdm,cdm_source,cdm_holder,FALSE,FALSE,varchar(255),,,,,varchar(255),FALSE,FALSE,FALSE,FALSE,,,,,,The holder of the CDM instance.,,,
cdm,cdm_source,source_documentation_reference,FALSE,FALSE,varchar(255),,,,,varchar(255),FALSE,FALSE,FALSE,FALSE,,,,,,,,,
cdm,cdm_source,cdm_etl_reference,FALSE,FALSE,varchar(255),,,,,varchar(255),FALSE,FALSE,FALSE,FALSE,,,,,,,Put the link to the CDM version used.,,
cdm,cdm_source,source_description,FALSE,FALSE,varchar(MAX),,,,,varchar(MAX),FALSE,FALSE,FALSE,FALSE,,,,,,The description of the CDM instance.,,,
cdm,cohort,cohort_start_date,TRUE,TRUE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
cdm,cohort_definition,cohort_initiation_date,FALSE,FALSE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,A date to indicate when the Cohort was initiated in the COHORT table.,,,
cdm,cohort,cohort_definition_id,TRUE,TRUE,integer,,,,,uuid,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
cdm,cohort,subject_id,TRUE,TRUE,integer,,,,,uuid,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
cdm,concept,valid_end_date,TRUE,TRUE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,"The date when the Concept became
invalid because it was deleted or
superseded (updated) by a new concept.
The default value is 31-Dec-2099,
meaning, the Concept is valid until it
becomes deprecated.",,,
cdm,visit_detail,admitted_from_source_value,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,Visit,,,"Use this field to determine where the patient was admitted from. This concept is part of the visit domain and can indicate if a patient was admitted to the hospital from a long-term care facility, for example.","If available, map the admitted_from_source_value to a standard concept in the visit domain. If not available, map to 0. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Visit&standardConcept=Standard&page=1&pageSize=15&query=).",,
cdm,drug_strength,amount_unit_concept_id,FALSE,FALSE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,The Concept representing the Unit of measure for the amount of active ingredient contained within the drug product.,,,
cdm,specimen,anatomic_site_concept_id,FALSE,FALSE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,This is the site on the body where the specimen is from.,Map the ANATOMIC_SITE_SOURCE_VALUE to a Standard Concept in the Spec Anatomic Site domain. This should be coded at the lowest level of granularity [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?standardConcept=Standard&domain=Spec+Anatomic+Site&conceptClass=Body+Structure&page=4&pageSize=15&query=),,
cdm,cohort_definition,cohort_definition_name,TRUE,TRUE,varchar(255),,,,,varchar(255),FALSE,FALSE,FALSE,FALSE,,,,,,A short description of the cohort,,,
cdm,cohort_definition,cohort_definition_description,FALSE,FALSE,varchar(MAX),,,,,varchar(MAX),FALSE,FALSE,FALSE,FALSE,,,,,,A complete description of the cohort.,,,
cdm,cohort_definition,cohort_definition_syntax,FALSE,FALSE,varchar(MAX),,,,,varchar(MAX),FALSE,FALSE,FALSE,FALSE,,,,,,Syntax or code to operationalize the Cohort Definition.,,,
cdm,concept,valid_start_date,TRUE,TRUE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,"The date when the Concept was first
recorded. The default value is
1-Jan-1970, meaning, the Concept has no
(known) date of inception.",,,
cdm,concept_relationship,valid_end_date,TRUE,TRUE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,The date when the relationship is invalidated.,,,
cdm,concept,concept_id,TRUE,TRUE,integer,,,,,integer,TRUE,TRUE,FALSE,FALSE,,,,,,A unique identifier for each Concept across all domains.,,,
cdm,concept,standard_concept,FALSE,FALSE,varchar(1),,,,,varchar(1),FALSE,FALSE,FALSE,FALSE,,,,,,"This flag determines where a Concept is
a Standard Concept, i.e. is used in the
data, a Classification Concept, or a
non-standard Source Concept. The
allowable values are 'S' (Standard
Concept) and 'C' (Classification
Concept), otherwise the content is NULL.",,,
cdm,concept,invalid_reason,FALSE,FALSE,varchar(1),,,,,varchar(1),FALSE,FALSE,FALSE,FALSE,,,,,,"Reason the Concept was invalidated.
Possible values are D (deleted), U
(replaced with an update) or NULL when
valid_end_date has the default value.",,,
cdm,concept_ancestor,ancestor_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,"The Concept Id for the higher-level concept
that forms the ancestor in the relationship.",,,
cdm,survey_conduct,assisted_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,This is a Concept that represents whether the survey was completed with assistance or independently.,"There is no specific domain or class for this field, just choose the one that best represents the value given in the source.",,
cdm,concept,concept_name,TRUE,TRUE,varchar(255),,,,,varchar(255),FALSE,FALSE,FALSE,FALSE,,,,,,"An unambiguous, meaningful and descriptive name for the Concept.",,,
cdm,concept,concept_code,TRUE,TRUE,varchar(50),,,,,varchar(50),FALSE,FALSE,FALSE,FALSE,,,,,,"The concept code represents the identifier
of the Concept in the source vocabulary,
such as SNOMED-CT concept IDs,
RxNorm RXCUIs etc. Note that concept
codes are not unique across vocabularies.",,,
cdm,survey_conduct,collection_method_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,This Concept represents how the responses were collected.,Use the concepts that have the relationship 'Has Answer' with the CONCEPT_ID [42529316](https://athena.ohdsi.org/search-terms/terms/42529316).,,
cdm,concept_ancestor,min_levels_of_separation,TRUE,TRUE,integer,,,,,integer,FALSE,FALSE,FALSE,FALSE,,,,,,"The minimum separation in number of
levels of hierarchy between ancestor and
descendant concepts. This is an attribute
that is used to simplify hierarchic analysis.",,,
cdm,concept_ancestor,max_levels_of_separation,TRUE,TRUE,integer,,,,,integer,FALSE,FALSE,FALSE,FALSE,,,,,,"The maximum separation in number of
levels of hierarchy between ancestor and
descendant concepts. This is an attribute
that is used to simplify hierarchic analysis.",,,
cdm,concept_class,concept_class_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,A Concept that represents the Concept Class.,,,
cdm,concept_class,concept_class_id,TRUE,TRUE,varchar(20),,,,,varchar(20),TRUE,TRUE,FALSE,FALSE,,,,,,A unique key for each class.,,,
cdm,concept_class,concept_class_name,TRUE,TRUE,varchar(255),,,,,varchar(255),FALSE,FALSE,FALSE,FALSE,,,,,,"The name describing the Concept Class, e.g.
Clinical Finding, Ingredient, etc.",,,
cdm,concept_relationship,valid_start_date,TRUE,TRUE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,The date when the relationship is first recorded.,,,
cdm,condition_era,condition_era_end_datetime,TRUE,TRUE,datetime,,,,,datetime,FALSE,FALSE,FALSE,FALSE,,,,,,"The end date for the Condition Era
constructed from the individual
instances of Condition Occurrences.
It is the end date of the final
continuously recorded instance of the
Condition.",,,
cdm,concept_synonym,concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,,,,
cdm,concept_relationship,concept_id_1,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,,,,
cdm,concept_relationship,invalid_reason,FALSE,FALSE,varchar(1),,,,,varchar(1),FALSE,FALSE,FALSE,FALSE,,,,,,"Reason the relationship was invalidated. Possible values are 'D' (deleted), 'U' (updated) or NULL.",,,
cdm,concept_relationship,concept_id_2,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,,,,
cdm,condition_era,condition_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,Condition,,,The Concept Id representing the Condition.,,,
cdm,condition_occurrence,condition_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,Condition,,,"The CONDITION_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source value which represents a condition","The CONCEPT_ID that the CONDITION_SOURCE_VALUE maps to. Only records whose source values map to concepts with a domain of ""Condition"" should go in this table. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Condition&standardConcept=Standard&page=1&pageSize=15&query=).",,
cdm,concept_synonym,concept_synonym_name,TRUE,TRUE,varchar(1000),,,,,varchar(1000),FALSE,FALSE,FALSE,FALSE,,,,,,,,,
cdm,condition_era,condition_era_id,TRUE,TRUE,bigint,,,,,uuid,TRUE,TRUE,FALSE,FALSE,,,,,,,,,
cdm,condition_era,person_id,TRUE,TRUE,bigint,,,,,bigint,FALSE,FALSE,FALSE,FALSE,person,person_id,,,,,,,
cdm,condition_era,condition_era_start_datetime,TRUE,TRUE,datetime,,,,,datetime,FALSE,FALSE,FALSE,FALSE,,,,,,"The start date for the Condition Era
constructed from the individual
instances of Condition Occurrences.
It is the start date of the very first
chronologically recorded instance of
the condition with at least 31 days since any prior record of the same Condition.",,,
cdm,condition_occurrence,condition_end_date,FALSE,FALSE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,Use this date to determine the end date of the condition,"Most often data sources do not have the idea of a start date for a condition. Rather, if a source only has one date associated with a condition record it is acceptable to use that date for both the CONDITION_START_DATE and the CONDITION_END_DATE.",,Only fill if related iso_interval field indicates a known single date(time)
